Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0,42,125.937,2.9985
0.02,42,125.958,2.999
0.04,42,125.937,2.9985
0.06,41.5,124.4378,2.9985
0.08,42,125.895,2.9975
0.1,42,125.937,2.9985
0.12,42,125.937,2.9985
0.14,41.5,124.4378,2.9985
0.16,41.5,124.4378,2.9985
0.18,42,125.937,2.9985
0.2,42,125.937,2.9985
0.22,42,125.937,2.9985
0.24,41.5,124.4378,2.9985
0.26,42,125.937,2.9985
0.28,42,125.895,2.9975
0.3,42,125.937,2.9985
0.32,42,125.958,2.999
0.34,41.5,124.4585,2.999
0.36,42,125.895,2.9975
0.38,42,125.895,2.9975
0.4,42,125.895,2.9975
0.42,42,125.895,2.9975
0.44,41.5,124.4378,2.9985
0.46,41.5,124.4378,2.9985
0.48,42,125.937,2.9985
0.5,42,125.937,2.9985
0.52,41.5,124.4378,2.9985
0.54,41.5,124.4585,2.999
0.56,41.5,124.3962,2.9975
0.58,42,125.937,2.9985
0.6,42.5,127.4363,2.9985
0.62,42,125.937,2.9985
0.64,41.5,124.4585,2.999
0.66,41.5,124.4378,2.9985
0.68,42,125.937,2.9985
0.7,50.5,151.4243,2.9985
0.72,51,152.9235,2.9985
0.74,50.5,151.4243,2.9985
0.76,50.5,151.3737,2.9975
0.78,50.5,151.4243,2.9985
0.8,51,152.949,2.999
0.82,50.5,151.4243,2.9985
0.84,50.5,151.4243,2.9985
0.86,50.5,151.4495,2.999
0.88,51,152.9235,2.9985
0.9,51,152.9235,2.9985
0.92,50.5,151.4243,2.9985
0.94,51,152.8725,2.9975
0.96,50.5,151.4243,2.9985
0.98,51,152.8725,2.9975
1,50,149.875,2.9975
1.02,50.5,151.3737,2.9975
1.04,50.5,151.3737,2.9975
1.06,50.5,151.3737,2.9975
1.08,50.5,151.4243,2.9985
1.1,51,152.9235,2.9985
1.12,50.5,151.4243,2.9985
1.14,50.5,151.4243,2.9985
1.16,50.5,151.3737,2.9975
1.18,50,149.875,2.9975
1.2,51,152.8725,2.9975
1.22,50.5,151.4243,2.9985
1.24,50.5,151.4243,2.9985
1.26,51,152.949,2.999
1.28,51,152.8725,2.9975
1.3,50.5,151.4243,2.9985
1.32,51,152.9235,2.9985
1.34,50.5,151.4243,2.9985
1.36,50.5,151.3737,2.9975
1.38,51,152.949,2.999
1.4,51,152.9235,2.9985
1.42,50.5,151.4243,2.9985
1.44,50.5,151.4243,2.9985
1.46,50.5,151.3737,2.9975
1.48,51,152.8725,2.9975
1.5,51,152.8725,2.9975
1.52,50.5,151.4243,2.9985
1.54,51,152.8725,2.9975
1.56,50.5,151.4243,2.9985
1.58,50.5,151.4243,2.9985
1.6,51,152.8725,2.9975
1.62,51,152.8725,2.9975
1.64,50.5,151.4495,2.999
1.66,51,152.9235,2.9985
1.68,51,152.8725,2.9975
1.7,42,125.937,2.9985
1.72,41.5,124.3962,2.9975
1.74,41.5,124.4378,2.9985
1.76,42,125.937,2.9985
1.78,42,125.937,2.9985
1.8,42,125.895,2.9975
1.82,42,125.937,2.9985
1.84,41.5,124.4378,2.9985
1.86,41.5,124.4585,2.999
1.88,42,125.937,2.9985
1.9,42,125.895,2.9975
1.92,41.5,124.4378,2.9985
1.94,42,125.958,2.999
1.96,42,125.937,2.9985
1.98,42,125.958,2.999
2,42,125.895,2.9975
2.02,41.5,124.4378,2.9985
2.04,41.5,124.4378,2.9985
2.06,41.5,124.4585,2.999
2.08,42,125.937,2.9985
2.1,42,125.895,2.9975
2.12,41.5,124.4378,2.9985
2.14,41.5,124.3962,2.9975
2.16,41.5,124.4378,2.9985
2.18,42,125.937,2.9985
2.2,42,125.937,2.9985
2.22,41.5,124.3962,2.9975
2.24,41.5,124.3962,2.9975
2.26,41.5,124.4378,2.9985
2.28,42,125.937,2.9985
2.3,42,125.937,2.9985
2.32,42,125.937,2.9985
2.34,41.5,124.4378,2.9985
2.36,42,125.895,2.9975
2.38,42,125.937,2.9985
2.4,42,125.937,2.9985
2.42,41.5,124.4378,2.9985
2.44,41.5,124.4378,2.9985
2.46,41.5,124.4378,2.9985
2.48,41,122.9385,2.9985
2.5,42,125.937,2.9985
2.52,42,125.937,2.9985
2.54,41.5,124.3962,2.9975
2.56,41.5,124.4378,2.9985
2.58,42,125.937,2.9985
2.6,42,125.937,2.9985
2.62,41.5,124.3962,2.9975
